행정구역별,시점,거주외국인별1,거주외국인별2,합계,남자,여자
서울,2020,한국국적을 가지지 않은 자 (명),외국인근로자,63526,39676,23850
서울,2020,한국국적을 가지지 않은 자 (명),결혼이민자,31661,10071,21590
서울,2020,한국국적을 가지지 않은 자 (명),유학생,46925,16987,29938
서울,2020,한국국적을 가지지 않은 자 (명),외국국적동포,102828,47211,55617
서울,2020,한국국적을 가지지 않은 자 (명),기타외국인,121514,59445,62069
서울,2020,한국국적을 취득한 자 (명),소계,43769,13199,30570
서울,2020,외국인주민자녀(출생) (명),소계,34220,17369,16851
서울,2021,총인구 (명),소계,9472127,4584251,4887876
서울,2021,합계 (명),소계,426743,193715,233028
서울,2021,한국국적을 가지지 않은 자 (명),소계,347080,162564,184516
서울,2021,한국국적을 가지지 않은 자 (명),외국인근로자,49668,29786,19882
서울,2021,한국국적을 가지지 않은 자 (명),결혼이민자,31098,10071,21027
서울,2021,한국국적을 가지지 않은 자 (명),유학생,51854,17795,34059
서울,2021,한국국적을 가지지 않은 자 (명),외국국적동포,103128,50382,52746
서울,2021,한국국적을 가지지 않은 자 (명),기타외국인,111332,54530,56802
서울,2021,한국국적을 취득한 자 (명),소계,44768,13418,31350
서울,2021,외국인주민자녀(출생) (명),소계,34895,17733,17162
서울,2022,총인구 (명),소계,9417469,4547051,4870418
서울,2022,합계 (명),소계,442289,197004,245285
서울,2022,한국국적을 가지지 않은 자 (명),소계,360947,165249,195698
서울,2022,한국국적을 가지지 않은 자 (명),외국인근로자,43667,25591,18076
서울,2022,한국국적을 가지지 않은 자 (명),결혼이민자,31777,10455,21322
서울,2022,한국국적을 가지지 않은 자 (명),유학생,66975,21609,45366
서울,2022,한국국적을 가지지 않은 자 (명),외국국적동포,105356,52678,52678
서울,2022,한국국적을 가지지 않은 자 (명),기타외국인,113172,54916,58256
서울,2022,한국국적을 취득한 자 (명),소계,45792,13693,32099
서울,2022,외국인주민자녀(출생) (명),소계,35550,18062,17488
부산,2015,총인구 (명),소계,3448737,-,-
부산,2015,합계 (명),소계,58080,31275,26805
부산,2015,한국국적을 가지지 않은 자 (명),소계,44070,26008,18062
부산,2015,한국국적을 가지지 않은 자 (명),외국인근로자,16424,14241,2183
부산,2015,한국국적을 가지지 않은 자 (명),결혼이민자,6527,986,5541
부산,2015,한국국적을 가지지 않은 자 (명),유학생,6163,2780,3383
부산,2015,한국국적을 가지지 않은 자 (명),외국국적동포,3688,1748,1940
부산,2015,한국국적을 가지지 않은 자 (명),기타외국인,11268,6253,5015
부산,2015,한국국적을 취득한 자 (명),소계,4853,583,4270
부산,2015,한국국적을 취득한 자 (명),혼인귀화자,3443,150,3293
부산,2015,한국국적을 취득한 자 (명),기타사유,1410,433,977
부산,2015,외국인주민자녀(출생) (명),소계,9157,4684,4473
부산,2015,외국인주민자녀(출생) (명),외국인 부모,91,39,52
부산,2015,외국인주민자녀(출생) (명),외국인-한국인부모,8640,4408,4232
부산,2015,외국인주민자녀(출생) (명),한국인 부모,426,237,189
부산,2015,외국인주민 세대수 (세대),소계,12826,-,-
부산,2016,총인구 (명),소계,3440484,-,-
부산,2016,합계 (명),소계,59872,31901,27971
부산,2016,한국국적을 가지지 않은 자 (명),소계,46168,26920,19248
부산,2016,한국국적을 가지지 않은 자 (명),외국인근로자,15934,14028,1906
부산,2016,한국국적을 가지지 않은 자 (명),결혼이민자,6672,984,5688
부산,2016,한국국적을 가지지 않은 자 (명),유학생,7346,3203,4143
부산,2016,한국국적을 가지지 않은 자 (명),외국국적동포,3644,1773,1871
부산,2016,한국국적을 가지지 않은 자 (명),기타외국인,12572,6932,5640
부산,2016,한국국적을 취득한 자 (명),소계,5181,614,4567
부산,2016,외국인주민자녀(출생) (명),소계,8523,4367,4156
부산,2017,총인구 (명),소계,3416918,-,-
부산,2017,합계 (명),소계,64145,33841,30304
부산,2017,한국국적을 가지지 않은 자 (명),소계,48808,28130,20678
부산,2017,한국국적을 가지지 않은 자 (명),외국인근로자,14901,13245,1656
부산,2017,한국국적을 가지지 않은 자 (명),결혼이민자,6841,1096,5745
부산,2017,한국국적을 가지지 않은 자 (명),유학생,9071,4202,4869
부산,2017,한국국적을 가지지 않은 자 (명),외국국적동포,3961,1889,2072
부산,2017,한국국적을 가지지 않은 자 (명),기타외국인,14034,7698,6336
부산,2017,한국국적을 취득한 자 (명),소계,5496,657,4839
부산,2017,외국인주민자녀(출생) (명),소계,9841,5054,4787
부산,2018,총인구 (명),소계,3395278,1668984,1726294
부산,2018,합계 (명),소계,71570,37623,33947
부산,2018,한국국적을 가지지 않은 자 (명),소계,55506,31621,23885
부산,2018,한국국적을 가지지 않은 자 (명),외국인근로자,14779,13012,1767
부산,2018,한국국적을 가지지 않은 자 (명),결혼이민자,6949,1108,5841
부산,2018,한국국적을 가지지 않은 자 (명),유학생,11370,5549,5821
부산,2018,한국국적을 가지지 않은 자 (명),외국국적동포,3911,1836,2075
부산,2018,한국국적을 가지지 않은 자 (명),기타외국인,18497,10116,8381
부산,2018,한국국적을 취득한 자 (명),소계,5671,694,4977
부산,2018,외국인주민자녀(출생) (명),소계,10393,5308,5085
부산,2019,총인구 (명),소계,3372692,1655566,1717126
부산,2019,합계 (명),소계,77968,40549,37419
부산,2019,한국국적을 가지지 않은 자 (명),소계,60502,34021,26481
부산,2019,한국국적을 가지지 않은 자 (명),외국인근로자,13855,12230,1625
부산,2019,한국국적을 가지지 않은 자 (명),결혼이민자,7257,1188,6069
부산,2019,한국국적을 가지지 않은 자 (명),유학생,12475,6075,6400
부산,2019,한국국적을 가지지 않은 자 (명),외국국적동포,3815,1804,2011
부산,2019,한국국적을 가지지 않은 자 (명),기타외국인,23100,12724,10376
부산,2019,한국국적을 취득한 자 (명),소계,5998,701,5297
부산,2019,외국인주민자녀(출생) (명),소계,11468,5827,5641
부산,2020,총인구 (명),소계,3349016,1638751,1710265
부산,2020,합계 (명),소계,73185,36641,36544
부산,2020,한국국적을 가지지 않은 자 (명),소계,54914,29874,25040
부산,2020,한국국적을 가지지 않은 자 (명),외국인근로자,12711,11218,1493
부산,2020,한국국적을 가지지 않은 자 (명),결혼이민자,7365,1307,6058
부산,2020,한국국적을 가지지 않은 자 (명),유학생,10547,5298,5249
부산,2020,한국국적을 가지지 않은 자 (명),외국국적동포,4197,1949,2248
부산,2020,한국국적을 가지지 않은 자 (명),기타외국인,20094,10102,9992
부산,2020,한국국적을 취득한 자 (명),소계,6422,769,5653
부산,2020,외국인주민자녀(출생) (명),소계,11849,5998,5851
부산,2021,총인구 (명),소계,3324335,1624745,1699590
부산,2021,합계 (명),소계,72361,35686,36675
부산,2021,한국국적을 가지지 않은 자 (명),소계,53334,28658,24676
부산,2021,한국국적을 가지지 않은 자 (명),외국인근로자,11811,10408,1403
부산,2021,한국국적을 가지지 않은 자 (명),결혼이민자,7340,1354,5986
부산,2021,한국국적을 가지지 않은 자 (명),유학생,11317,5475,5842
부산,2021,한국국적을 가지지 않은 자 (명),외국국적동포,4219,2001,2218
부산,2021,한국국적을 가지지 않은 자 (명),기타외국인,18647,9420,9227
부산,2021,한국국적을 취득한 자 (명),소계,6700,798,5902
부산,2021,외국인주민자녀(출생) (명),소계,12327,6230,6097
부산,2022,총인구 (명),소계,3295760,1608947,1686813
부산,2022,합계 (명),소계,75687,37564,38123
부산,2022,한국국적을 가지지 않은 자 (명),소계,55973,30326,25647
부산,2022,한국국적을 가지지 않은 자 (명),외국인근로자,12420,11007,1413
부산,2022,한국국적을 가지지 않은 자 (명),결혼이민자,7204,1438,5766
부산,2022,한국국적을 가지지 않은 자 (명),유학생,12579,6032,6547
부산,2022,한국국적을 가지지 않은 자 (명),외국국적동포,4359,2054,2305
부산,2022,한국국적을 가지지 않은 자 (명),기타외국인,19411,9795,9616
부산,2022,한국국적을 취득한 자 (명),소계,7061,850,6211
부산,2022,외국인주민자녀(출생) (명),소계,12653,6388,6265
대구,2015,총인구 (명),소계,2466052,-,-
대구,2015,합계 (명),소계,38899,20816,18083
대구,2015,한국국적을 가지지 않은 자 (명),소계,29282,17292,11990
대구,2015,한국국적을 가지지 않은 자 (명),외국인근로자,11701,9454,2247
대구,2015,한국국적을 가지지 않은 자 (명),결혼이민자,4549,645,3904
대구,2015,한국국적을 가지지 않은 자 (명),유학생,2852,1455,1397
대구,2015,한국국적을 가지지 않은 자 (명),외국국적동포,2330,1217,1113
대구,2015,한국국적을 가지지 않은 자 (명),기타외국인,7850,4521,3329
대구,2015,한국국적을 취득한 자 (명),소계,3194,333,2861
대구,2015,한국국적을 취득한 자 (명),혼인귀화자,2352,105,2247
대구,2015,한국국적을 취득한 자 (명),기타사유,842,228,614
대구,2015,외국인주민자녀(출생) (명),소계,6423,3191,3232
대구,2015,외국인주민자녀(출생) (명),외국인 부모,68,38,30
대구,2015,외국인주민자녀(출생) (명),외국인-한국인부모,6084,3003,3081
대구,2015,외국인주민자녀(출생) (명),한국인 부모,271,150,121
대구,2015,외국인주민 세대수 (세대),소계,8560,-,-
대구,2016,총인구 (명),소계,2461002,-,-
대구,2016,합계 (명),소계,40251,21407,18844
대구,2016,한국국적을 가지지 않은 자 (명),소계,30492,17948,12544
대구,2016,한국국적을 가지지 않은 자 (명),외국인근로자,11181,9162,2019
대구,2016,한국국적을 가지지 않은 자 (명),결혼이민자,4793,694,4099
대구,2016,한국국적을 가지지 않은 자 (명),유학생,2844,1515,1329
대구,2016,한국국적을 가지지 않은 자 (명),외국국적동포,2637,1401,1236
대구,2016,한국국적을 가지지 않은 자 (명),기타외국인,9037,5176,3861
대구,2016,한국국적을 취득한 자 (명),소계,3610,388,3222
대구,2016,외국인주민자녀(출생) (명),소계,6149,3071,3078
대구,2017,총인구 (명),소계,2453041,-,-
대구,2017,합계 (명),소계,42506,22137,20369
대구,2017,한국국적을 가지지 않은 자 (명),소계,31365,18112,13253
대구,2017,한국국적을 가지지 않은 자 (명),외국인근로자,10219,8462,1757
대구,2017,한국국적을 가지지 않은 자 (명),결혼이민자,4943,759,4184
대구,2017,한국국적을 가지지 않은 자 (명),유학생,3240,1722,1518
대구,2017,한국국적을 가지지 않은 자 (명),외국국적동포,2986,1594,1392
대구,2017,한국국적을 가지지 않은 자 (명),기타외국인,9977,5575,4402
대구,2017,한국국적을 취득한 자 (명),소계,3872,419,3453
대구,2017,외국인주민자녀(출생) (명),소계,7269,3606,3663
대구,2018,총인구 (명),소계,2444412,1212777,1231635
대구,2018,합계 (명),소계,47017,24117,22900
대구,2018,한국국적을 가지지 않은 자 (명),소계,35280,19839,15441
대구,2018,한국국적을 가지지 않은 자 (명),외국인근로자,9718,8050,1668
대구,2018,한국국적을 가지지 않은 자 (명),결혼이민자,5154,799,4355
대구,2018,한국국적을 가지지 않은 자 (명),유학생,4248,2230,2018
대구,2018,한국국적을 가지지 않은 자 (명),외국국적동포,3172,1688,1484
대구,2018,한국국적을 가지지 않은 자 (명),기타외국인,12988,7072,5916
대구,2018,한국국적을 취득한 자 (명),소계,4022,438,3584
대구,2018,외국인주민자녀(출생) (명),소계,7715,3840,3875
대구,2019,총인구 (명),소계,2429940,1203754,1226186
대구,2019,합계 (명),소계,53023,26942,26081
대구,2019,한국국적을 가지지 않은 자 (명),소계,40092,22181,17911
대구,2019,한국국적을 가지지 않은 자 (명),외국인근로자,9358,7760,1598
대구,2019,한국국적을 가지지 않은 자 (명),결혼이민자,5382,869,4513
대구,2019,한국국적을 가지지 않은 자 (명),유학생,5960,3166,2794
대구,2019,한국국적을 가지지 않은 자 (명),외국국적동포,3212,1654,1558
대구,2019,한국국적을 가지지 않은 자 (명),기타외국인,16180,8732,7448
대구,2019,한국국적을 취득한 자 (명),소계,4330,449,3881
대구,2019,외국인주민자녀(출생) (명),소계,8601,4312,4289
대구,2020,총인구 (명),소계,2410700,1190271,1220429
대구,2020,합계 (명),소계,50900,24577,26323
대구,2020,한국국적을 가지지 않은 자 (명),소계,37398,19646,17752
대구,2020,한국국적을 가지지 않은 자 (명),외국인근로자,8026,6702,1324
대구,2020,한국국적을 가지지 않은 자 (명),결혼이민자,5474,913,4561
대구,2020,한국국적을 가지지 않은 자 (명),유학생,6128,3275,2853
대구,2020,한국국적을 가지지 않은 자 (명),외국국적동포,3380,1646,1734
대구,2020,한국국적을 가지지 않은 자 (명),기타외국인,14390,7110,7280
대구,2020,한국국적을 취득한 자 (명),소계,4669,482,4187
대구,2020,외국인주민자녀(출생) (명),소계,8833,4449,4384
대구,2021,총인구 (명),소계,2387911,1177420,1210491
대구,2021,합계 (명),소계,51140,24267,26873
대구,2021,한국국적을 가지지 않은 자 (명),소계,36956,19070,17886
대구,2021,한국국적을 가지지 않은 자 (명),외국인근로자,7273,6000,1273
대구,2021,한국국적을 가지지 않은 자 (명),결혼이민자,5421,919,4502
대구,2021,한국국적을 가지지 않은 자 (명),유학생,6968,3594,3374
대구,2021,한국국적을 가지지 않은 자 (명),외국국적동포,3490,1765,1725
대구,2021,한국국적을 가지지 않은 자 (명),기타외국인,13804,6792,7012
대구,2021,한국국적을 취득한 자 (명),소계,4902,495,4407
대구,2021,외국인주민자녀(출생) (명),소계,9282,4702,4580
대구,2022,총인구 (명),소계,2366852,1165698,1201154
대구,2022,합계 (명),소계,53684,25651,28033
대구,2022,한국국적을 가지지 않은 자 (명),소계,38849,20236,18613
대구,2022,한국국적을 가지지 않은 자 (명),외국인근로자,7444,6215,1229
대구,2022,한국국적을 가지지 않은 자 (명),결혼이민자,5411,998,4413
대구,2022,한국국적을 가지지 않은 자 (명),유학생,7555,3814,3741
대구,2022,한국국적을 가지지 않은 자 (명),외국국적동포,3812,1924,1888
대구,2022,한국국적을 가지지 않은 자 (명),기타외국인,14627,7285,7342
대구,2022,한국국적을 취득한 자 (명),소계,5249,558,4691
대구,2022,외국인주민자녀(출생) (명),소계,9586,4857,4729
인천,2015,총인구 (명),소계,2890451,-,-
인천,2015,합계 (명),소계,89515,48571,40944
인천,2015,한국국적을 가지지 않은 자 (명),소계,67850,40224,27626
인천,2015,한국국적을 가지지 않은 자 (명),외국인근로자,27507,21845,5662
인천,2015,한국국적을 가지지 않은 자 (명),결혼이민자,8732,1754,6978
인천,2015,한국국적을 가지지 않은 자 (명),유학생,2423,1026,1397
인천,2015,한국국적을 가지지 않은 자 (명),외국국적동포,9888,4871,5017
인천,2015,한국국적을 가지지 않은 자 (명),기타외국인,19300,10728,8572
인천,2015,한국국적을 취득한 자 (명),소계,9820,2259,7561
인천,2015,한국국적을 취득한 자 (명),혼인귀화자,5901,736,5165
인천,2015,한국국적을 취득한 자 (명),기타사유,3919,1523,2396
인천,2015,외국인주민자녀(출생) (명),소계,11845,6088,5757
인천,2015,외국인주민자녀(출생) (명),외국인 부모,540,284,256
인천,2015,외국인주민자녀(출생) (명),외국인-한국인부모,10822,5544,5278
인천,2015,외국인주민자녀(출생) (명),한국인 부모,483,260,223
인천,2015,외국인주민 세대수 (세대),소계,18394,-,-
인천,2016,총인구 (명),소계,2913024,-,-
인천,2016,합계 (명),소계,94670,50587,44083
인천,2016,한국국적을 가지지 않은 자 (명),소계,71873,41959,29914
인천,2016,한국국적을 가지지 않은 자 (명),외국인근로자,25628,20723,4905
인천,2016,한국국적을 가지지 않은 자 (명),결혼이민자,9873,2031,7842
인천,2016,한국국적을 가지지 않은 자 (명),유학생,2702,1111,1591
인천,2016,한국국적을 가지지 않은 자 (명),외국국적동포,11881,5829,6052
인천,2016,한국국적을 가지지 않은 자 (명),기타외국인,21789,12265,9524
인천,2016,한국국적을 취득한 자 (명),소계,11115,2615,8500
인천,2016,외국인주민자녀(출생) (명),소계,11682,6013,5669
인천,2017,총인구 (명),소계,2925967,-,-
인천,2017,합계 (명),소계,104441,55363,49078
인천,2017,한국국적을 가지지 않은 자 (명),소계,79170,45773,33397
인천,2017,한국국적을 가지지 않은 자 (명),외국인근로자,23783,19393,4390
인천,2017,한국국적을 가지지 않은 자 (명),결혼이민자,10143,2268,7875
인천,2017,한국국적을 가지지 않은 자 (명),유학생,3268,1467,1801
인천,2017,한국국적을 가지지 않은 자 (명),외국국적동포,14829,7053,7776
인천,2017,한국국적을 가지지 않은 자 (명),기타외국인,27147,15592,11555
인천,2017,한국국적을 취득한 자 (명),소계,12483,3038,9445
인천,2017,외국인주민자녀(출생) (명),소계,12788,6552,6236
인천,2018,총인구 (명),소계,2936117,1476097,1460020
인천,2018,합계 (명),소계,115720,61181,54539
인천,2018,한국국적을 가지지 않은 자 (명),소계,88489,50742,37747
인천,2018,한국국적을 가지지 않은 자 (명),외국인근로자,25539,20632,4907
인천,2018,한국국적을 가지지 않은 자 (명),결혼이민자,10875,2498,8377
인천,2018,한국국적을 가지지 않은 자 (명),유학생,3978,1835,2143
인천,2018,한국국적을 가지지 않은 자 (명),외국국적동포,17295,8205,9090
인천,2018,한국국적을 가지지 않은 자 (명),기타외국인,30802,17572,13230
인천,2018,한국국적을 취득한 자 (명),소계,13560,3414,10146
인천,2018,외국인주민자녀(출생) (명),소계,13671,7025,6646
인천,2019,총인구 (명),소계,2952237,1484528,1467709
인천,2019,합계 (명),소계,130292,68659,61633
인천,2019,한국국적을 가지지 않은 자 (명),소계,100174,56990,43184
인천,2019,한국국적을 가지지 않은 자 (명),외국인근로자,25209,20321,4888
인천,2019,한국국적을 가지지 않은 자 (명),결혼이민자,11545,2710,8835
인천,2019,한국국적을 가지지 않은 자 (명),유학생,6068,3108,2960
인천,2019,한국국적을 가지지 않은 자 (명),외국국적동포,18942,8894,10048
인천,2019,한국국적을 가지지 않은 자 (명),기타외국인,38410,21957,16453
인천,2019,한국국적을 취득한 자 (명),소계,14666,3730,10936
