"소재지(시군구)별(1)","시점",전체인구(A) (명)
"충청북도","2010",1549528
"충청북도","2011",1562903
"충청북도","2012",1565628
"충청북도","2013",1572732
"충청북도","2014",1578933
"충청북도","2015",1583952
"충청북도","2016",1591625
"충청북도","2017",1594432
"충청북도","2018",1599252
"충청북도","2019",1600007
"충청북도","2020",1600837
"충청북도","2021",1597427
"충청북도","2022",1595058
"충청남도","2005",1962646
"충청남도","2006",1974433
"충청남도","2007",1995531
"충청남도","2008",2018537
"충청남도","2009",2037582
"충청남도","2010",2075514
"충청남도","2011",2101284
"충청남도","2012",2028777
"충청남도","2013",2047631
"충청남도","2014",2062273
"충청남도","2015",2077649
"충청남도","2016",2096727
"충청남도","2017",2116770
"충청남도","2018",2126282
"충청남도","2019",2123709
"충청남도","2020",2121029
"충청남도","2021",2119257
"충청남도","2022",2123037
"전라북도","2005",1885335
"전라북도","2006",1868365
"전라북도","2007",1862277
"전라북도","2008",1855772
"전라북도","2009",1854508
"전라북도","2010",1868963
"전라북도","2011",1874031
"전라북도","2012",1873341
"전라북도","2013",1872965
"전라북도","2014",1871560
"전라북도","2015",1869711
"전라북도","2016",1864791
"전라북도","2017",1854607
"전라북도","2018",1836832
"전라북도","2019",1818917
"전라북도","2020",1804104
"전라북도","2021",1786855
"전라북도","2022",1769607
"전라남도","2005",1967205
"전라남도","2006",1942925
"전라남도","2007",1929836
"전라남도","2008",1919000
"전라남도","2009",1913004
"전라남도","2010",1918485
"전라남도","2011",1914339
"전라남도","2012",1909618
"전라남도","2013",1907172
"전라남도","2014",1905780
"전라남도","2015",1908996
"전라남도","2016",1903914
"전라남도","2017",1896424
"전라남도","2018",1882970
"전라남도","2019",1868745
"전라남도","2020",1851549
"전라남도","2021",1832803
"전라남도","2022",1817697
"경상북도","2005",2688491
"경상북도","2006",2688577
"경상북도","2007",2681364
"경상북도","2008",2673931
"경상북도","2009",2669876
"경상북도","2010",2689920
"경상북도","2011",2699195
"경상북도","2012",2698353
"경상북도","2013",2699440
"경상북도","2014",2700794
"경상북도","2015",2702826
"경상북도","2016",2700398
"경상북도","2017",2691706
"경상북도","2018",2676831
"경상북도","2019",2665836
"경상북도","2020",2639422
"경상북도","2021",2626609
"경상북도","2022",2600492
"경상남도","2005",3160431
"경상남도","2006",3172857
"경상남도","2007",3196953
"경상남도","2008",3225255
"경상남도","2009",3250176
"경상남도","2010",3290536
"경상남도","2011",3308765
"경상남도","2012",3319314
"경상남도","2013",3333820
"경상남도","2014",3350257
"경상남도","2015",3364702
"경상남도","2016",3373871
"경상남도","2017",3380404
"경상남도","2018",3373988
"경상남도","2019",3362553
"경상남도","2020",3340216
"경상남도","2021",3314183
"경상남도","2022",3280493
"제주특별자치도","2005",557569
"제주특별자치도","2006",558496
"제주특별자치도","2007",559258
"제주특별자치도","2008",560618
"제주특별자치도","2009",562663
"제주특별자치도","2010",571255
"제주특별자치도","2011",576156
"제주특별자치도","2012",583713
"제주특별자치도","2013",593806
"제주특별자치도","2014",607346
"제주특별자치도","2015",624395
"제주특별자치도","2016",641597
"제주특별자치도","2017",657083
"제주특별자치도","2018",667191
"제주특별자치도","2019",670989
"제주특별자치도","2020",674635
"제주특별자치도","2021",676759
"제주특별자치도","2022",678159
